Logger: #E50A33 'PT1000TEMP' - USP_EXP2 - (CGI) Expander for GP5W - (V2.60, Mai 12 2013),,
No,Time,#1:oC,#HK-Bat:V
1,30.04.2015 11:05:28,22.2687,3.623
2,30.04.2015 12:00:00,21.798,3.662
3,30.04.2015 13:00:00,21.8361,
4,30.04.2015 14:00:00,21.4824,
5,30.04.2015 15:00:00,21.3667,
6,30.04.2015 16:00:00,21.2539,
7,30.04.2015 17:00:00,21.1298,
8,30.04.2015 18:00:00,21.0142,3.668
9,30.04.2015 19:00:00,20.9186,
10,30.04.2015 20:00:00,20.8464,
11,30.04.2015 21:00:00,20.7698,
12,30.04.2015 22:00:00,20.6902,
13,30.04.2015 23:00:00,20.7037,
14,01.05.2015 00:00:00,20.7149,3.67
15,01.05.2015 01:00:00,20.7141,
16,01.05.2015 02:00:00,20.7519,
17,01.05.2015 03:00:00,20.7714,
18,01.05.2015 04:00:00,20.7844,
19,01.05.2015 05:00:00,20.7818,
20,01.05.2015 06:00:00,20.7575,3.667
21,01.05.2015 07:00:00,20.7675,
22,01.05.2015 08:00:00,20.7682,
23,01.05.2015 09:00:00,20.7138,
24,01.05.2015 10:00:00,20.6794,
25,01.05.2015 11:00:00,20.6792,
26,01.05.2015 12:00:00,20.6866,3.669
27,01.05.2015 13:00:00,20.699,
28,01.05.2015 14:00:00,20.7184,
29,01.05.2015 15:00:00,20.712,
30,01.05.2015 16:00:00,20.6989,
31,01.05.2015 17:00:00,20.6575,
32,01.05.2015 18:00:00,20.6594,3.668
33,01.05.2015 19:00:00,20.6526,
34,01.05.2015 20:00:00,20.6409,
35,01.05.2015 21:00:00,20.6442,
36,01.05.2015 22:00:00,20.65,
37,01.05.2015 23:00:00,20.606,
38,02.05.2015 00:00:00,20.5924,3.668
39,02.05.2015 01:00:00,20.6046,
40,02.05.2015 02:00:00,20.6222,
41,02.05.2015 03:00:00,20.6312,
42,02.05.2015 04:00:00,20.6435,
43,02.05.2015 05:00:00,20.6517,
44,02.05.2015 06:00:00,20.6582,3.666
45,02.05.2015 07:00:00,20.6603,
46,02.05.2015 08:00:00,20.6768,
47,02.05.2015 09:00:00,20.7098,
48,02.05.2015 10:00:00,20.7626,
49,02.05.2015 11:00:00,20.7908,
50,02.05.2015 12:00:00,20.8003,3.668
51,02.05.2015 13:00:00,20.8281,
52,02.05.2015 14:00:00,20.8963,
53,02.05.2015 15:00:00,20.9342,
54,02.05.2015 16:00:00,20.9493,
55,02.05.2015 17:00:00,20.9412,
56,02.05.2015 18:00:00,20.9291,3.67
57,02.05.2015 19:00:00,20.9167,
58,02.05.2015 20:00:00,20.8592,
59,02.05.2015 21:00:00,20.8456,
60,02.05.2015 22:00:00,20.8159,
61,02.05.2015 23:00:00,20.7946,
62,03.05.2015 00:00:00,20.7981,3.668
63,03.05.2015 01:00:00,20.7791,
64,03.05.2015 02:00:00,20.7889,
65,03.05.2015 03:00:00,20.7914,
66,03.05.2015 04:00:00,20.7907,
67,03.05.2015 05:00:00,20.7914,
68,03.05.2015 06:00:00,20.793,3.668
69,03.05.2015 07:00:00,20.8044,
70,03.05.2015 08:00:00,20.8194,
71,03.05.2015 09:00:00,20.8212,
72,03.05.2015 10:00:00,20.7867,
73,03.05.2015 11:00:00,20.7612,
74,03.05.2015 12:00:00,20.7682,3.668
75,03.05.2015 13:00:00,20.8107,
76,03.05.2015 14:00:00,20.848,
77,03.05.2015 15:00:00,20.9077,
78,03.05.2015 16:00:00,20.9841,
79,03.05.2015 17:00:00,21.0092,
80,03.05.2015 18:00:00,20.9998,3.667
81,03.05.2015 19:00:00,20.9719,
82,03.05.2015 20:00:00,20.9322,
83,03.05.2015 21:00:00,20.8726,
84,03.05.2015 22:00:00,20.8304,
85,03.05.2015 23:00:00,20.7981,
86,04.05.2015 00:00:00,20.7806,3.666
87,04.05.2015 01:00:00,20.7584,
88,04.05.2015 02:00:00,20.7426,
89,04.05.2015 03:00:00,20.743,
90,04.05.2015 04:00:00,20.7336,
91,04.05.2015 05:00:00,20.7207,
92,04.05.2015 06:00:00,20.7181,3.668
93,04.05.2015 07:00:00,20.7131,
94,04.05.2015 08:00:00,20.7438,
95,04.05.2015 09:00:00,20.7874,
96,04.05.2015 10:00:00,20.8693,
97,04.05.2015 11:00:00,20.8699,
98,04.05.2015 12:00:00,21.0239,3.668
99,04.05.2015 13:00:00,22.0544,
100,04.05.2015 14:00:00,22.2844,
101,04.05.2015 15:00:00,22.5196,
102,04.05.2015 16:00:00,22.4527,
103,04.05.2015 17:00:00,22.017,
104,04.05.2015 18:00:00,21.6508,3.669
105,04.05.2015 19:00:00,21.3741,
106,04.05.2015 20:00:00,21.1525,
107,04.05.2015 21:00:00,20.9749,
108,04.05.2015 22:00:00,20.8582,
109,04.05.2015 23:00:00,20.7317,
110,05.05.2015 00:00:00,20.5763,3.668
111,05.05.2015 01:00:00,20.4868,
112,05.05.2015 02:00:00,20.3827,
113,05.05.2015 03:00:00,20.3101,
114,05.05.2015 04:00:00,20.2442,
115,05.05.2015 05:00:00,20.1983,
116,05.05.2015 06:00:00,20.1365,3.665
117,05.05.2015 07:00:00,20.1087,
118,05.05.2015 08:00:00,20.1624,
119,05.05.2015 09:00:00,20.8582,
120,05.05.2015 10:00:00,21.3005,
121,05.05.2015 11:00:00,21.5177,
122,05.05.2015 12:00:00,21.7223,3.668
123,05.05.2015 13:00:00,21.6711,
124,05.05.2015 14:00:00,21.6685,
125,05.05.2015 15:00:00,21.7363,
126,05.05.2015 16:00:00,21.7906,
127,05.05.2015 17:00:00,21.7278,
128,05.05.2015 18:00:00,21.6503,3.668
129,05.05.2015 19:00:00,21.5682,
130,05.05.2015 20:00:00,21.5113,
131,05.05.2015 21:00:00,21.4307,
132,05.05.2015 22:00:00,21.3746,
133,05.05.2015 23:00:00,21.2984,
134,06.05.2015 00:00:00,21.2266,3.667
135,06.05.2015 01:00:00,21.1856,
136,06.05.2015 02:00:00,21.1391,
137,06.05.2015 03:00:00,21.0859,
138,06.05.2015 04:00:00,21.0378,
139,06.05.2015 05:00:00,20.9889,
140,06.05.2015 06:00:00,20.9425,3.666
141,06.05.2015 07:00:00,20.8943,
142,06.05.2015 08:00:00,20.8501,
143,06.05.2015 09:00:00,20.7446,
144,06.05.2015 10:00:00,20.6891,
145,06.05.2015 11:00:00,20.6821,
146,06.05.2015 12:00:00,20.9258,3.664
147,06.05.2015 13:00:00,21.0626,
148,06.05.2015 14:00:00,21.1566,
149,06.05.2015 15:00:00,21.18,
150,06.05.2015 16:00:00,21.1734,
151,06.05.2015 17:00:00,21.2248,
